"eventId","minute","second","teamId","x","y","period","type","outcomeType","qualifiers.type.value","qualifiers.type.displayName","qualifiers.value","satisfiedEventsTypes","isTouch","playerId","endX","endY","blockedX","blockedY","goalMouthZ","goalMouthY","isShot","relatedEventId","relatedPlayerId","isGoal","cardType","isOwnGoal","cumulative_mins","id","typeId","name","assist","type_value_Involved","type_value_Team player formation","type_value_Jersey number","type_value_Captain","type_value_Team formation","type_value_Player position","type_value_Team kit","type_value_Resume","type_value_Direction of Play","type_value_Zone","type_value_Angle","type_value_Pass End Y","type_value_Kick Off","type_value_Pass End X","type_value_Length","type_value_Launch","type_value_Long ball","type_value_Goal Kick","type_value_Chipped","type_value_Not visible","type_value_High","type_value_Head","type_value_Out of play","type_value_Throw-in","type_value_Blocked
Pass","type_value_Offensive","type_value_Opposite related event ID","type_value_Defensive","type_value_None","type_value_Head pass","type_value_Flick-on","type_value_Low","type_value_Switch of play","type_value_Cross","type_value_In-swinger","type_value_Right footed","type_value_Out-swinger","type_value_Left footed","type_value_Assist","type_value_Out of box-centre","type_value_Individual Play","type_value_Low centre","type_value_Swerve Left","type_value_Related event ID","type_value_Regular play","type_value_Goal mouth y coordinate","type_value_Assisted","type_value_Blocked y co-ordinate","type_value_Goal mouth z coordinate","type_value_Blocked x co-ordinate","type_value_Standing","type_value_Collected","type_value_Hands","type_value_GK Start","type_value_Left","type_value_Right","type_value_Corner taken","type_value_Low right","type_value_Parried safe","type_value_Diving","type_value_Intentional
assist","type_value_From corner","type_value_Box-centre","type_value_First Touch","type_value_High left","type_value_GK Y Coordinate","type_value_GK X blocked","type_value_Foul","type_value_Direct","type_value_Shirt Pull/Holding","type_value_Free kick taken","type_value_Set piece","type_value_Small box- centre","type_value_Shove/push","type_value_Pull Back","type_value_Hand","type_value_Through ball","type_value_Volley","type_value_Big Chance","type_value_Feet","type_value_Strong","type_value_Swerve Moving","type_value_Keeper Throw","type_value_Attempted Tackle","type_value_Swerve Right","type_value_Low left","type_value_Blocked","type_value_Def block","type_value_Box-right","type_value_Weak","type_value_1 on 1","type_value_Lay-off","type_value_High Right","type_value_Yellow Card","type_value_Gk kick from hands","type_value_End type","type_value_Tactical","type_value_Position Side ID","type_value_Detailed Position ID","type_value_Formation slot","type_value_Free kick","type_value_Reaching","type_value_Overhit Cross","type_value_Close left","type_value_Overrun","type_value_Box-left","type_value_Fast Break","type_value_Players caught offside","type_value_Indirect","type_value_Small box-right","type_value_Six yard blocked","type_value_High centre","type_value_Other body part","type_value_Time wasting","type_value_Blocked cross","type_value_Throw-in set
piece","type_value_Game end","value_Involved","value_Team player formation","value_Jersey number.x","value_Captain","value_Team formation","value_Player position","value_Team kit","value_Resume","value_Direction of Play","value_Zone","value_Angle","value_Pass End Y","value_Kick Off","value_Pass End X","value_Length","value_Launch","value_Long ball","value_Goal Kick","value_Chipped","value_Not visible","value_High","value_Head","value_Out of play","value_Throw-in","value_Blocked
Pass","value_Offensive","value_Opposite related event ID","value_Defensive","value_None","value_Head pass","value_Flick-on","value_Low","value_Switch of play","value_Cross","value_In-swinger","value_Right footed","value_Out-swinger","value_Left footed","value_Assist","value_Out of box-centre","value_Individual Play","value_Low centre","value_Swerve Left","value_Related event ID","value_Regular play","value_Goal mouth y coordinate","value_Assisted","value_Blocked y co-ordinate","value_Goal mouth z coordinate","value_Blocked x co-ordinate","value_Standing","value_Collected","value_Hands","value_GK Start","value_Left","value_Right","value_Corner taken","value_Low right","value_Parried safe","value_Diving","value_Intentional
assist","value_From corner","value_Box-centre","value_First Touch","value_High left","value_GK Y Coordinate","value_GK X blocked","value_Foul","value_Direct","value_Shirt Pull/Holding","value_Free kick taken","value_Set piece","value_Small box- centre","value_Shove/push","value_Pull Back","value_Hand","value_Through ball","value_Volley","value_Big Chance","value_Feet","value_Strong","value_Swerve Moving","value_Keeper Throw","value_Attempted Tackle","value_Swerve Right","value_Low left","value_Blocked","value_Def block","value_Box-right","value_Weak","value_1 on 1","value_Lay-off","value_High Right","value_Yellow Card","value_Gk kick from hands","value_End type","value_Tactical","value_Position Side ID","value_Detailed Position ID","value_Formation slot","value_Free kick","value_Reaching","value_Overhit Cross","value_Close left","value_Overrun","value_Box-left","value_Fast Break","value_Players caught offside","value_Indirect","value_Small box-right","value_Six yard blocked","value_High centre","value_Other body part","value_Time wasting","value_Blocked cross","value_Throw-in set
piece","value_Game end","teamName","h_a","ft","timeStamp","venueName","competition","season","index","start_zone_value_xT","end_zone_value_xT","xT","oppositionTeamName","prog_pass","prog_carry","pass_or_carry_angle","shortName","event_index","possession_id","possession_team","row_number","formation_position","formation_name","value_Jersey number.y"
430,13,18,"4grc9qgcvusllap8h5j6gc5h5",37.17,2.992,"FirstHalf","BallTouch","Successful",NA,NA,NA,NA,NA,"6gtfe9aysdrcht4v2rluu0ley",37.17,2.992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.3,2738287401,61,"Carlos Alvarez",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Back",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Levante UD","home","2 : 1","2024-10-24","Estadio Ciudad de Valencia","LALIGA HYPERMOTION","2024/2025",262,NA,NA,NA,"RC Deportivo de La Coruña",0,0,0,"C. Alvarez",262,20,"Levante UD",262,"RAMF","4231",24
115,13,19,"4grc9qgcvusllap8h5j6gc5h5",42.63,4.216,"FirstHalf","BallRecovery","Successful",NA,NA,NA,NA,NA,"8kj8kbwbfiqloxiilj0i00ep6",42.63,4.216,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.3166666666667,2738263059,49,"Ivan Romero",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Levante UD","home","2 : 1","2024-10-24","Estadio Ciudad de Valencia","LALIGA HYPERMOTION","2024/2025",263,NA,NA,NA,"RC Deportivo de La Coruña",0,0,0,"I. Romero",263,20,"Levante UD",263,"ST","4231",9
115.5,13,21,"4grc9qgcvusllap8h5j6gc5h5",42.63,4.216,"FirstHalf","Carry","Successful",999,"takeOns","0",NA,TRUE,"8kj8kbwbfiqloxiilj0i00ep6",55.23,8.704,NA,NA,NA,NA,NA,119,NA,NA,NA,NA,13.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Levante UD","home","2 : 1","2024-10-24","Estadio Ciudad de Valencia","LALIGA HYPERMOTION","2024/2025",264,0.01126267,0.01611813,0.00485546,"RC Deportivo de La Coruña",0,13.2870272435983,19.6054148412572,NA,264,20,"Levante UD",264,"ST","4231",9
119,13,23,"4grc9qgcvusllap8h5j6gc5h5",55.23,8.704,"FirstHalf","Dispossessed","Successful",NA,NA,NA,NA,NA,"8kj8kbwbfiqloxiilj0i00ep6",55.23,8.704,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.3833333333333,2738263547,50,"Ivan Romero",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,286,233,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Right",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"123",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Levante UD","home","2 : 1","2024-10-24","Estadio Ciudad de Valencia","LALIGA HYPERMOTION","2024/2025",265,NA,NA,NA,"RC Deportivo de La Coruña",0,0,0,"I. Romero",265,20,"Levante UD",265,"ST","4231",9
123,13,23,"1r541mega6d838hi0p44sv0h2",49.77,59.296,"FirstHalf","Tackle","Unsuccessful",NA,NA,NA,NA,NA,"1qaj3ssatf8rnzrzuvkla1g5w",49.77,59.296,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.3833333333333,2738263111,7,"Dani Barcia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,233,285,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Back",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"119",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RC Deportivo de La Coruña","away","2 : 1","2024-10-24","Estadio Ciudad de Valencia","LALIGA HYPERMOTION","2024/2025",266,NA,NA,NA,"Levante UD",0,0,0,"D. Barcia",266,21,"RC Deportivo de La Coruña",266,"LCD","433",5
116,13,24,"4grc9qgcvusllap8h5j6gc5h5",57.015,9.724,"FirstHalf","BallTouch","Successful",NA,NA,NA,NA,NA,"8kj8kbwbfiqloxiilj0i00ep6",57.015,9.724,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.4,2738263115,61,"Ivan Romero",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Right",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Levante UD","home","2 : 1","2024-10-24","Estadio Ciudad de Valencia","LALIGA HYPERMOTION","2024/2025",267,NA,NA,NA,"RC Deportivo de La Coruña",0,0,0,"I. Romero",267,21,"RC Deportivo de La Coruña",267,"ST","4231",9
124,13,26,"1r541mega6d838hi0p44sv0h2",48.3,58.888,"FirstHalf","BallTouch","Successful",NA,NA,NA,NA,NA,"4vdmmwetnlmvrc4erlhjbcvoq",48.3,58.888,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.4333333333333,2738263151,61,"Rafael Obrador",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Back",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RC Deportivo de La Coruña","away","2 : 1","2024-10-24","Estadio Ciudad de Valencia","LALIGA HYPERMOTION","2024/2025",268,NA,NA,NA,"Levante UD",0,0,0,"R. Obrador",268,21,"RC Deportivo de La Coruña",268,"LB","433",33
126,13,28,"1r541mega6d838hi0p44sv0h2",38.22,51.612,"FirstHalf","BallRecovery","Successful",NA,NA,NA,NA,NA,"bznkfclbiwpcx4k8wub7q7skq",38.22,51.612,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.4666666666667,2738263183,49,"Diego Villares",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RC Deportivo de La Coruña","away","2 : 1","2024-10-24","Estadio Ciudad de Valencia","LALIGA HYPERMOTION","2024/2025",269,NA,NA,NA,"Levante UD",0,0,0,"D. Villares",269,21,"RC Deportivo de La Coruña",269,"CMF","433",8
127,13,28,"1r541mega6d838hi0p44sv0h2",38.22,51.612,"FirstHalf","Pass","Successful",NA,NA,NA,NA,NA,"bznkfclbiwpcx4k8wub7q7skq",41.055,58.004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.4666666666667,2738263199,1,"Diego Villares",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56,213,141,NA,140,212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Back","1.15","85.3",NA,"39.1","7.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RC Deportivo de La Coruña","away","2 : 1","2024-10-24","Estadio Ciudad de Valencia","LALIGA HYPERMOTION","2024/2025",270,0.01214719,0.01214719,0,"Levante UD",0.761443282265233,0,66.0816051724086,"D. Villares",270,21,"RC Deportivo de La Coruña",270,"CMF","433",8
128,13,30,"1r541mega6d838hi0p44sv0h2",41.055,57.46,"FirstHalf","Pass","Successful",NA,NA,NA,NA,NA,"1qaj3ssatf8rnzrzuvkla1g5w",43.68,52.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.5,2738263205,1,"Dani Barcia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56,213,141,NA,140,212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Back","5.22","77.5",NA,"41.6","5.4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RC Deportivo de La Coruña","away","2 : 1","2024-10-24","Estadio Ciudad de Valencia","LALIGA HYPERMOTION","2024/2025",271,0.01214719,0.0138454,0.00169821,"Levante UD",4.00468672497799,0,-61.1245566037718,"D. Barcia",271,21,"RC Deportivo de La Coruña",271,"LCD","433",5
129,13,30,"1r541mega6d838hi0p44sv0h2",43.68,52.7,"FirstHalf","Pass","Successful",NA,NA,NA,NA,NA,"1iqywa6tuuujqemqpfcxs4nze",38.745,59.092,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.5,2738263213,1,"Mario Soriano",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56,213,141,NA,140,212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Back","2.23","86.9",NA,"36.9","8.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RC Deportivo de La Coruña","away","2 : 1","2024-10-24","Estadio Ciudad de Valencia","LALIGA HYPERMOTION","2024/2025",272,0.0138454,0.01214719,-0.00169821,"Levante UD",-6.73928008981241,0,127.670252283241,"M. Soriano",272,21,"RC Deportivo de La Coruña",272,"LMF","433",21
