"eventId","minute","second","teamId","x","y","period","type","outcomeType","qualifiers.type.value","qualifiers.type.displayName","qualifiers.value","satisfiedEventsTypes","isTouch","playerId","endX","endY","blockedX","blockedY","goalMouthZ","goalMouthY","isShot","relatedEventId","relatedPlayerId","isGoal","cardType","isOwnGoal","cumulative_mins","id","typeId","name","type_value_Resume","type_value_Involved","type_value_Jersey number","type_value_Team formation","type_value_Player position","type_value_Team player formation","type_value_Team kit","type_value_Captain","type_value_Direction of Play","type_value_Pass End X","type_value_Pass End Y","type_value_Zone","type_value_Length","type_value_Angle","type_value_Kick Off","type_value_Long ball","type_value_Chipped","type_value_Throw-in","type_value_Out of play","type_value_Launch","type_value_Opposite related event ID","type_value_Opposite
related
event ID","type_value_Offensive","type_value_Defensive","type_value_Right","type_value_Left","type_value_Corner taken","type_value_Out-swinger","type_value_Right footed","type_value_Cross","type_value_Head","type_value_Shirt Pull/Holding","type_value_Foul","type_value_Direct","type_value_Not visible","type_value_Free kick taken","type_value_Pull Back","type_value_Assist","type_value_Intentional
assist","type_value_Blocked x co-ordinate","type_value_Blocked y co-ordinate","type_value_GK X blocked","type_value_Blocked","type_value_Goal mouth y coordinate","type_value_Assisted","type_value_Goal mouth z coordinate","type_value_Low centre","type_value_First Touch","type_value_Regular play","type_value_GK Y Coordinate","type_value_Related event ID","type_value_Box-centre","type_value_Def block","type_value_Out of box-centre","type_value_Volley","type_value_High left","type_value_Goal Kick","type_value_Low","type_value_Switch of play","type_value_Blocked
Pass","type_value_Blocked cross","type_value_Left footed","type_value_In-swinger","type_value_Flick-on","type_value_Yellow Card","type_value_Overhit Cross","type_value_Head pass","type_value_Attempted Tackle","type_value_Lay-off","type_value_Close right","type_value_Box-right","type_value_Players caught offside","type_value_Indirect","type_value_Through ball","type_value_Keeper Throw","type_value_Over-arm","type_value_Aerial Foul","type_value_Individual Play","type_value_Fast Break","type_value_Fast break","type_value_Low right","type_value_Diving","type_value_Hands","type_value_Parried danger","type_value_Box-left","type_value_Weak","type_value_High Right","type_value_Shove/push","type_value_High","type_value_Free kick","type_value_Hand","type_value_Six yard blocked","type_value_From corner","type_value_Argument","type_value_End type","type_value_Tactical","type_value_Position Side ID","type_value_Formation slot","type_value_Detailed Position ID","type_value_Overrun","type_value_Close left","type_value_Set piece","type_value_By Wall","type_value_Captain change","type_value_Straight","type_value_Low left","type_value_Box-deep right","type_value_Parried safe","type_value_Gk kick from hands","type_value_High claim","type_value_Not past goal line","type_value_GK hoof","type_value_Own Player","type_value_Own shot blocked","type_value_Own Shot Blocked","type_value_Game end","value_Team formation","value_Captain","value_Direction of Play","value_Pass End X","value_Pass End Y","value_Zone","value_Length","value_Angle","value_Kick Off","value_Long ball","value_Chipped","value_Throw-in","value_Out of play","value_Launch","value_Opposite related event ID","value_Opposite
related
event ID","value_Offensive","value_Defensive","value_Right","value_Left","value_Corner taken","value_Out-swinger","value_Right footed","value_Cross","value_Head","value_Shirt Pull/Holding","value_Foul","value_Direct","value_Not visible","value_Free kick taken","value_Pull Back","value_Assist","value_Intentional
assist","value_Blocked x co-ordinate","value_Blocked y co-ordinate","value_GK X blocked","value_Blocked","value_Goal mouth y coordinate","value_Assisted","value_Goal mouth z coordinate","value_Low centre","value_First Touch","value_Regular play","value_GK Y Coordinate","value_Related event ID","value_Box-centre","value_Def block","value_Out of box-centre","value_Volley","value_High left","value_Goal Kick","value_Low","value_Switch of play","value_Blocked
Pass","value_Blocked cross","value_Left footed","value_In-swinger","value_Flick-on","value_Yellow Card","value_Overhit Cross","value_Head pass","value_Attempted Tackle","value_Lay-off","value_Close right","value_Box-right","value_Players caught offside","value_Indirect","value_Through ball","value_Keeper Throw","value_Over-arm","value_Aerial Foul","value_Individual Play","value_Fast Break","value_Fast break","value_Low right","value_Diving","value_Hands","value_Parried danger","value_Box-left","value_Weak","value_High Right","value_Shove/push","value_High","value_Free kick","value_Hand","value_Six yard blocked","value_From corner","value_Argument","value_End type","value_Tactical","value_Position Side ID","value_Formation slot","value_Detailed Position ID","value_Overrun","value_Close left","value_Set piece","value_By Wall","value_Captain change","value_Straight","value_Low left","value_Box-deep right","value_Parried safe","value_Gk kick from hands","value_High claim","value_Not past goal line","value_GK hoof","value_Own Player","value_Own shot blocked","value_Own Shot Blocked","value_Game end","teamName","h_a","ft","timeStamp","venueName","competition","season","index","start_zone_value_xT","end_zone_value_xT","xT","oppositionTeamName","prog_pass","prog_carry","pass_or_carry_angle","shortName","event_index","possession_id","possession_team","row_number"
65,6,45,"4grc9qgcvusllap8h5j6gc5h5",95.025,6.392,"FirstHalf","Pass","Unsuccessful",NA,NA,NA,NA,NA,"6gtfe9aysdrcht4v2rluu0ley",102.375,36.108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.75,2731845511,1,"Carlos Alvarez",NA,NA,NA,NA,NA,NA,NA,NA,NA,140,141,56,212,213,NA,NA,155,NA,NA,NA,233,233,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72,223,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"97.5","53.1","Center","30.6","1.33",NA,NA,NA,NA,NA,NA,"45","45",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Levante UD","home","0 : 0","2024-10-06","Estadio Ciudad de Valencia","LALIGA HYPERMOTION","2024/2025",112,NA,NA,NA,"Real Oviedo",25.988122454739,0,76.1072067713124,"C. Alvarez",112,5,"Levante UD",112
45,6,47,"clo928vcczjp0mczavs5o7p5k",3.78,30.872,"FirstHalf","Punch","Successful",NA,NA,NA,NA,NA,"1j75xt37w8q04ixbyjwhtfh05",25.095,16.116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.78333333333333,2731845555,41,"Aaron Escandell",NA,NA,NA,NA,NA,NA,NA,NA,NA,140,141,NA,212,213,NA,NA,NA,NA,NA,NA,233,233,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"23.9","23.7",NA,"25.9","5.68",NA,NA,NA,NA,NA,NA,"65","65",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Real Oviedo","away","0 : 0","2024-10-06","Estadio Ciudad de Valencia","LALIGA HYPERMOTION","2024/2025",113,NA,NA,NA,"Levante UD",0,0,-34.6941750695726,"A. Escandell",113,5,"Levante UD",113
46,6,48,"clo928vcczjp0mczavs5o7p5k",25.41,16.456,"FirstHalf","TakeOn","Unsuccessful",NA,NA,NA,NA,NA,"60b3ef904dyvuh61cgkajcley",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.8,2731845557,3,"I. Chaira",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56,NA,NA,NA,NA,NA,NA,NA,NA,233,233,NA,285,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Back",NA,NA,NA,NA,NA,NA,NA,NA,"77","77",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Real Oviedo","away","0 : 0","2024-10-06","Estadio Ciudad de Valencia","LALIGA HYPERMOTION","2024/2025",114,NA,NA,NA,"Levante UD",0,0,NA,"I. Chaira",114,5,"Levante UD",114
77,6,48,"4grc9qgcvusllap8h5j6gc5h5",79.59,51.544,"FirstHalf","Tackle","Successful",NA,NA,NA,NA,NA,"7273i4kefuqr1mldvltt60i6s",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.8,2731846707,7,"Marcos Navarro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56,NA,NA,NA,NA,NA,NA,NA,NA,233,233,286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Center",NA,NA,NA,NA,NA,NA,NA,NA,"46","46",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Levante UD","home","0 : 0","2024-10-06","Estadio Ciudad de Valencia","LALIGA HYPERMOTION","2024/2025",115,NA,NA,NA,"Real Oviedo",0,0,NA,"M. Navarro",115,5,"Levante UD",115
66,6,53,"4grc9qgcvusllap8h5j6gc5h5",61.215,63.784,"FirstHalf","Pass","Successful",NA,NA,NA,NA,NA,"7273i4kefuqr1mldvltt60i6s",30.975,47.328,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.88333333333333,2731845657,1,"Marcos Navarro",NA,NA,NA,NA,NA,NA,NA,NA,NA,140,141,56,212,213,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"29.5","69.6","Back","34.4","3.64",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Levante UD","home","0 : 0","2024-10-06","Estadio Ciudad de Valencia","LALIGA HYPERMOTION","2024/2025",116,0.01473596,0.01110462,-0.00363134,"Real Oviedo",-22.2604465551312,0,-151.445856407925,"M. Navarro",116,5,"Levante UD",116
67,6,56,"4grc9qgcvusllap8h5j6gc5h5",28.56,46.58,"FirstHalf","Pass","Successful",NA,NA,NA,NA,NA,"dlc9ht6hrf8bu1sxgqkm8fh79",38.115,41.956,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.93333333333333,2731845729,1,"Andres Fernandez",NA,NA,NA,NA,NA,NA,NA,NA,NA,140,141,56,212,213,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"36.3","61.7","Back","10.6","5.83",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Levante UD","home","0 : 0","2024-10-06","Estadio Ciudad de Valencia","LALIGA HYPERMOTION","2024/2025",117,0.01110462,0.01262646,0.00152184,"Real Oviedo",10.1117287816208,0,-25.8239698845739,"A. Fernandez",117,5,"Levante UD",117
68,6,59,"4grc9qgcvusllap8h5j6gc5h5",37.8,42.364,"FirstHalf","Pass","Successful",NA,NA,NA,NA,NA,"a91clevckra05nq55e1ztezmd",43.47,45.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.98333333333333,2731845793,1,"Oriol Rey",NA,NA,NA,NA,NA,NA,NA,NA,NA,140,141,56,212,213,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"41.4","67.5","Back","6.7","0.56",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Levante UD","home","0 : 0","2024-10-06","Estadio Ciudad de Valencia","LALIGA HYPERMOTION","2024/2025",118,0.01262646,0.01269174,6.52799999999992e-05,"Real Oviedo",5.04833373473812,0,31.9490326816805,"O. Rey",118,5,"Levante UD",118
69,7,3,"4grc9qgcvusllap8h5j6gc5h5",43.785,46.92,"FirstHalf","Pass","Successful",NA,NA,NA,NA,NA,"d1k9hj2ovhxue46mbdxy7wp3o",36.33,39.984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.05,2731845835,1,"Jorge Cabello",NA,NA,NA,NA,NA,NA,NA,NA,NA,140,141,56,212,213,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"34.6","58.8","Back","10.2","3.89",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Levante UD","home","0 : 0","2024-10-06","Estadio Ciudad de Valencia","LALIGA HYPERMOTION","2024/2025",119,0.01269174,0.01132376,-0.00136798,"Real Oviedo",-6.36664532423395,0,-137.065431699168,"J. Cabello",119,5,"Levante UD",119
70,7,6,"4grc9qgcvusllap8h5j6gc5h5",39.165,40.392,"FirstHalf","Pass","Successful",NA,NA,NA,NA,NA,"a91clevckra05nq55e1ztezmd",46.515,49.232,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.1,2731845911,1,"Oriol Rey",NA,NA,NA,NA,NA,NA,NA,NA,NA,140,141,56,212,213,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"44.3","72.4","Back","11.5","0.88",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Levante UD","home","0 : 0","2024-10-06","Estadio Ciudad de Valencia","LALIGA HYPERMOTION","2024/2025",120,0.01262646,0.01429128,0.00166482,"Real Oviedo",5.70858432023108,0,50.2582397506173,"O. Rey",120,5,"Levante UD",120
71,7,11,"4grc9qgcvusllap8h5j6gc5h5",45.99,50.796,"FirstHalf","Pass","Successful",NA,NA,NA,NA,NA,"d1k9hj2ovhxue46mbdxy7wp3o",34.125,46.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.18333333333333,2731845961,1,"Jorge Cabello",NA,NA,NA,NA,NA,NA,NA,NA,NA,140,141,56,212,213,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"32.5","69.0","Back","12.5","3.46",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Levante UD","home","0 : 0","2024-10-06","Estadio Ciudad de Valencia","LALIGA HYPERMOTION","2024/2025",121,0.01429128,0.01110462,-0.00318666,"Real Oviedo",-10.6892122655151,0,-161.909074296822,"J. Cabello",121,5,"Levante UD",121
72,7,12,"4grc9qgcvusllap8h5j6gc5h5",33.18,45.764,"FirstHalf","Pass","Successful",NA,NA,NA,NA,NA,"a91clevckra05nq55e1ztezmd",44.31,59.024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.2,2731846011,1,"Oriol Rey",NA,NA,NA,NA,NA,NA,NA,NA,NA,140,141,56,212,213,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"42.2","86.8","Back","17.3","0.87",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Levante UD","home","0 : 0","2024-10-06","Estadio Ciudad de Valencia","LALIGA HYPERMOTION","2024/2025",122,0.01110462,0.01126267,0.00015805,"Real Oviedo",7.13048051356968,0,49.9910278380375,"O. Rey",122,5,"Levante UD",122
73,7,16,"4grc9qgcvusllap8h5j6gc5h5",47.04,58.616,"FirstHalf","Pass","Successful",NA,NA,NA,NA,NA,"d1k9hj2ovhxue46mbdxy7wp3o",74.76,6.596,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.26666666666667,2731846169,1,"Jorge Cabello",NA,NA,NA,NA,NA,NA,NA,NA,NA,140,141,56,212,213,NA,1,155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,196,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"71.2","9.7","Right","58.9","5.20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Levante UD","home","0 : 0","2024-10-06","Estadio Ciudad de Valencia","LALIGA HYPERMOTION","2024/2025",123,0.0138454,0.02122129,0.00737589,"Real Oviedo",22.160936246534,0,-61.9480971406867,"J. Cabello",123,5,"Levante UD",123
