"index","eventId","minute","second","teamId","x","y","period","type","outcomeType","qualifiers.type.value","qualifiers.type.displayName","qualifiers.value","satisfiedEventsTypes","isTouch","playerId","endX","endY","blockedX","blockedY","goalMouthZ","goalMouthY","isShot","relatedEventId","relatedPlayerId","isGoal","cardType","isOwnGoal","cumulative_mins","id","expandedMinute","qualifiers","start_zone_value_xT","end_zone_value_xT","xT","teamName","oppositionTeamName","shirtNo","name","position","isFirstEleven","prog_pass","prog_carry","pass_or_carry_angle","shortName","event_index","possession_id","possession_team","row_number"
11,9,0,30,332,66.57,11.016,"FirstHalf","Pass","Successful",NA,NA,NA,"c(91, 117, 127, 35, 37, 215, 218)",TRUE,404203,26.04,40.936,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,2718123309,0,"list(type = list(value = c(56, 213, 141, 140, 212, 1), displayName = c(""Zone"", ""Angle"", ""PassEndY"", ""PassEndX"", ""Length"", ""Longball"")), value = c(""Back"", ""2.51"", ""60.2"", ""24.8"", ""50.4"", NA))",0.01870347,0.01016549,-0.00853798,"Czechia","Georgia",2,"David Zima","DC",TRUE,-34.485381926658,0,143.564566548946,"D. Zima",11,1,"Czechia",11
12,10,0,34,332,26.04,40.528,"FirstHalf","Pass","Successful",NA,NA,NA,"c(91, 117, 30, 36, 38, 215, 218)",TRUE,388668,31.08,18.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.566666666666667,2718123319,0,"list(type = list(value = c(56, 213, 212, 141, 140), displayName = c(""Zone"", ""Angle"", ""Length"", ""PassEndY"", ""PassEndX"")), value = c(""Back"", ""4.94"", ""22.7"", ""27.0"", ""29.6""))",0.01016549,0.01110462,0.000939130000000002,"Czechia","Georgia",1,"Matej Kovar","GK",TRUE,3.67294843173744,0,-77.1912655216707,"M. Kovar",12,1,"Czechia",12
13,11,0,38,332,31.08,18.36,"FirstHalf","Pass","Successful",NA,NA,NA,"c(91, 117, 30, 36, 38, 216, 218)",TRUE,404203,46.2,4.352,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.633333333333333,2718123343,0,"list(type = list(value = c(213, 140, 212, 141, 56), displayName = c(""Angle"", ""PassEndX"", ""Length"", ""PassEndY"", ""Zone"")), value = c(""5.54"", ""44.0"", ""20.6"", ""6.4"", ""Back""))",0.01110462,0.01248344,0.00137882,"Czechia","Georgia",2,"David Zima","DC",TRUE,9.70476137614699,0,-42.8137193953781,"D. Zima",13,1,"Czechia",13
14,12,0,41,332,44.94,7.004,"FirstHalf","Pass","Unsuccessful",NA,NA,NA,"c(91, 120, 29, 124, 36, 37, 217, 218)",TRUE,383685,74.97,12.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.683333333333333,2718123357,0,"list(type = list(value = c(213, 140, 212, 155, 56, 141), displayName = c(""Angle"", ""PassEndX"", ""Length"", ""Chipped"", ""Zone"", ""PassEndY"")), value = c(""0.18"", ""71.4"", ""30.5"", NA, ""Right"", ""18.5""))",NA,NA,NA,"Czechia","Georgia",14,"Lukas Provod","AMC",TRUE,28.9616701703512,0,10.5189399624089,"L. Provod",14,1,"Czechia",14
15,6,0,45,413,22.26,56.236,"FirstHalf","Clearance","Successful",NA,NA,NA,"c(91, 94, 95, 215)",TRUE,247643,30.87,46.716,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.75,2718123377,0,"list(type = list(value = c(56, 212, 213, 140, 141), displayName = c(""Zone"", ""Length"", ""Angle"", ""PassEndX"", ""PassEndY"")), value = c(""Back"", ""12.8"", ""5.45"", ""29.4"", ""68.7""))",NA,NA,NA,"Georgia","Czechia",3,"Lasha Dvali","DC",TRUE,0,0,-47.8734384975935,"L. Dvali",15,1,"Czechia",15
16,7,0,48,413,30.87,46.716,"FirstHalf","Pass","Unsuccessful",NA,NA,NA,"c(91, 118, 120, 29, 139, 36, 37, 216, 218)",TRUE,395346,37.8,52.088,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8,2718123383,0,"list(type = list(value = c(213, 56, 3, 141, 212, 140), displayName = c(""Angle"", ""Zone"", ""HeadPass"", ""PassEndY"", ""Length"", ""PassEndX"")), value = c(""0.66"", ""Back"", NA, ""76.6"", ""8.8"", ""36.0""))",NA,NA,NA,"Georgia","Czechia",6,"Giorgi Kochorashvili","MC",TRUE,5.62094275094529,0,37.7821404302899,"G. Kochorashvili",16,1,"Czechia",16
17,13,0,48,332,63.42,15.028,"FirstHalf","Pass","Successful",NA,NA,NA,"c(91, 117, 30, 35, 37, 216, 218)",TRUE,383685,45.99,29.648,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8,2718123385,0,"list(type = list(value = c(140, 56, 212, 213, 141), displayName = c(""PassEndX"", ""Zone"", ""Length"", ""Angle"", ""PassEndY"")), value = c(""43.8"", ""Back"", ""22.7"", ""2.44"", ""43.6""))",0.01870347,0.01484598,-0.00385749,"Czechia","Georgia",14,"Lukas Provod","AMC",TRUE,-13.4665082411878,0,140.010623852076,"L. Provod",17,1,"Czechia",17
18,14,0,50,332,46.41,32.504,"FirstHalf","Pass","Successful",NA,NA,NA,"c(91, 117, 30, 35, 37, 216, 218)",TRUE,428031,44.31,49.844,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.833333333333333,2718123407,0,"list(type = list(value = c(212, 56, 140, 213, 141), displayName = c(""Length"", ""Zone"", ""PassEndX"", ""Angle"", ""PassEndY"")), value = c(""17.5"", ""Back"", ""42.2"", ""1.69"", ""73.3""))",0.01484598,0.01269174,-0.00215424,"Czechia","Georgia",4,"Robin Hranac","DC",TRUE,-4.11496999700466,0,96.9053062985939,"R. Hranac",18,1,"Czechia",18
19,14.5,0,53.5,332,44.31,49.844,"FirstHalf","Carry","Successful",999,"takeOns","0","NULL",TRUE,404245,60.9,56.78,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,0.891666666666667,NA,NA,"NULL",0.01429128,0.01611813,0.00182685,"Czechia","Georgia",7,"Ladislav Krejci","DC",TRUE,0,13.088006371053,22.6889845663868,"L. Krejci",19,1,"Czechia",19
20,15,0,57,332,60.9,56.78,"FirstHalf","Pass","Successful",NA,NA,NA,"c(91, 117, 30, 35, 38, 216, 218)",TRUE,404245,46.62,43.112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.95,2718123417,0,"list(type = list(value = c(213, 141, 212, 140, 56), displayName = c(""Angle"", ""PassEndY"", ""Length"", ""PassEndX"", ""Zone"")), value = c(""3.91"", ""63.4"", ""19.8"", ""44.4"", ""Back""))",0.01870347,0.01429128,-0.00441219,"Czechia","Georgia",7,"Ladislav Krejci","DC",TRUE,-9.45076599603806,0,-136.254451622682,"L. Krejci",20,1,"Czechia",20
21,15.5,0,58.5,332,46.62,43.112,"FirstHalf","Carry","Successful",999,"takeOns","0","NULL",TRUE,428031,48.405,36.924,NA,NA,NA,NA,NA,16,NA,NA,NA,NA,0.975,NA,NA,"NULL",0.01429128,0.01484598,0.0005547,"Czechia","Georgia",4,"Robin Hranac","DC",TRUE,0,2.41634107894119,-73.9091836511478,"R. Hranac",21,1,"Czechia",21
22,16,1,0,332,48.405,36.924,"FirstHalf","Pass","Successful",NA,NA,NA,"c(91, 117, 30, 35, 38, 216, 218)",TRUE,428031,43.89,18.428,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2718123437,1,"list(type = list(value = c(56, 140, 212, 141, 213), displayName = c(""Zone"", ""PassEndX"", ""Length"", ""PassEndY"", ""Angle"")), value = c(""Back"", ""41.8"", ""19.0"", ""27.1"", ""4.47""))",0.01484598,0.01269174,-0.00215424,"Czechia","Georgia",4,"Robin Hranac","DC",TRUE,-6.39233574989639,0,-103.718013898236,"R. Hranac",22,1,"Czechia",22
23,17,1,2,332,43.05,17.34,"FirstHalf","Pass","Successful",NA,NA,NA,"c(91, 119, 117, 30, 36, 38, 216, 218)",TRUE,404203,59.955,3.332,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.03333333333333,2718123475,1,"list(type = list(value = c(56, 141, 213, 140, 212), displayName = c(""Zone"", ""PassEndY"", ""Angle"", ""PassEndX"", ""Length"")), value = c(""Right"", ""4.9"", ""5.59"", ""57.1"", ""22.0""))",0.01269174,0.01473596,0.00204422,"Czechia","Georgia",2,"David Zima","DC",TRUE,9.65722009088704,0,-39.6461845154324,"D. Zima",23,1,"Czechia",23
24,18,1,8,332,69.72,2.72,"FirstHalf","TakeOn","Unsuccessful",NA,NA,NA,"c(91, 53)",TRUE,111372,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.13333333333333,2718123477,1,"list(type = list(value = c(56, 233, 286), displayName = c(""Zone"", ""OppositeRelatedEvent"", ""Offensive"")), value = c(""Right"", ""8"", NA))",NA,NA,NA,"Czechia","Georgia",5,"Vladimir Coufal","DMR",TRUE,0,0,NA,"V. Coufal",24,1,"Czechia",24
25,8,1,8,413,35.28,65.28,"FirstHalf","Tackle","Unsuccessful",NA,NA,NA,"c(91, 142)",TRUE,363139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.13333333333333,2718123481,1,"list(type = list(value = c(56, 233, 285), displayName = c(""Zone"", ""OppositeRelatedEvent"", ""Defensive"")), value = c(""Back"", ""18"", NA))",NA,NA,NA,"Georgia","Czechia",10,"Giorgi Chakvetadze","MC",TRUE,0,0,NA,"G. Chakvetadze",25,1,"Czechia",25
26,19,1,10,332,69.615,1.972,"FirstHalf","BallTouch","Successful",NA,NA,NA,"91",TRUE,111372,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.16666666666667,2718123493,1,"list(type = list(value = 56, displayName = ""Zone""), value = ""Right"")",NA,NA,NA,"Czechia","Georgia",5,"Vladimir Coufal","DMR",TRUE,0,0,NA,"V. Coufal",26,1,"Czechia",26
27,10,1,21,413,25.095,68,"FirstHalf","Pass","Successful",NA,NA,NA,"c(91, 212, 36, 38, 215)",TRUE,404262,27.93,61.948,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.35,2718123555,1,"list(type = list(value = c(212, 213, 140, 56, 141, 107), displayName = c(""Length"", ""Angle"", ""PassEndX"", ""Zone"", ""PassEndY"", ""ThrowIn"")), value = c(""7.9"", ""5.08"", ""26.6"", ""Back"", ""91.1"", NA))",0.00844854,0.00844854,0,"Georgia","Czechia",14,"Luka Lochoshvili","DML",TRUE,4.85688517001192,0,-64.8997201807588,"L. Lochoshvili",27,1,"Czechia",27
28,11,1,22,413,27.93,61.948,"FirstHalf","BallTouch","Successful",NA,NA,NA,"91",TRUE,247643,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.36666666666667,2718123567,1,"list(type = list(value = 56, displayName = ""Zone""), value = ""Back"")",NA,NA,NA,"Georgia","Czechia",3,"Lasha Dvali","DC",TRUE,0,0,NA,"L. Dvali",28,1,"Czechia",28
29,21,1,23,332,38.22,26.18,"FirstHalf","BallTouch","Successful",NA,NA,NA,"91",TRUE,428031,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.38333333333333,2718123543,1,"list(type = list(value = 56, displayName = ""Zone""), value = ""Back"")",NA,NA,NA,"Czechia","Georgia",4,"Robin Hranac","DC",TRUE,0,0,NA,"R. Hranac",29,1,"Czechia",29
30,360,1,24,413,26.775,36.856,"FirstHalf","Pass","Unsuccessful",NA,NA,NA,"c(91, 118, 120, 29, 139, 36, 37, 216, 218)",TRUE,69335,36.96,37.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4,2718146447,1,"list(type = list(value = c(141, 213, 56, 212, 140, 3), displayName = c(""PassEndY"", ""Angle"", ""Zone"", ""Length"", ""PassEndX"", ""HeadPass"")), value = c(""55.5"", ""0.09"", ""Back"", ""10.2"", ""35.2"", NA))",NA,NA,NA,"Georgia","Czechia",4,"Guram Kashia","DC",TRUE,10.1344070037282,0,4.96051603559015,"G. Kashia",30,1,"Czechia",30
31,22,1,25,332,66.255,27.2,"FirstHalf","Aerial","Successful",NA,NA,NA,"c(197, 199)",FALSE,143595,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.41666666666667,2718123583,1,"list(type = list(value = c(56, 233, 286), displayName = c(""Zone"", ""OppositeRelatedEvent"", ""Offensive"")), value = c(""Center"", ""12"", NA))",NA,NA,NA,"Czechia","Georgia",22,"Tomas Soucek","MC",TRUE,0,0,NA,"T. Soucek",31,1,"Czechia",31
32,12,1,25,413,38.745,40.8,"FirstHalf","Aerial","Unsuccessful",NA,NA,NA,"c(198, 200)",FALSE,283760,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.41666666666667,2718123607,1,"list(type = list(value = c(56, 285, 233), displayName = c(""Zone"", ""Defensive"", ""OppositeRelatedEvent"")), value = c(""Back"", NA, ""22""))",NA,NA,NA,"Georgia","Czechia",17,"Otar Kiteishvili","MC",TRUE,0,0,NA,"O. Kiteishvili",32,1,"Czechia",32
33,23,1,26,332,63.63,26.996,"FirstHalf","Pass","Unsuccessful",NA,NA,NA,"c(91, 120, 29, 139, 36, 37, 216, 218)",TRUE,143595,68.565,32.504,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.43333333333333,2718123595,1,"list(type = list(value = c(141, 3, 213, 56, 140, 212), displayName = c(""PassEndY"", ""HeadPass"", ""Angle"", ""Zone"", ""PassEndX"", ""Length"")), value = c(""47.8"", NA, ""0.84"", ""Center"", ""65.3"", ""7.4""))",NA,NA,NA,"Czechia","Georgia",22,"Tomas Soucek","MC",TRUE,5.4930053760722,0,48.1406295258271,"T. Soucek",33,1,"Czechia",33
34,13,1,27,413,33.705,38.352,"FirstHalf","Aerial","Successful",NA,NA,NA,"c(197, 200)",FALSE,69335,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.45,2718123623,1,"list(type = list(value = c(233, 56, 285), displayName = c(""OppositeRelatedEvent"", ""Zone"", ""Defensive"")), value = c(""24"", ""Back"", NA))",NA,NA,NA,"Georgia","Czechia",4,"Guram Kashia","DC",TRUE,0,0,NA,"G. Kashia",34,1,"Czechia",34
35,24,1,27,332,71.295,29.648,"FirstHalf","Aerial","Unsuccessful",NA,NA,NA,"198:199",FALSE,421751,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.45,2718123605,1,"list(type = list(value = c(56, 286, 233), displayName = c(""Zone"", ""Offensive"", ""OppositeRelatedEvent"")), value = c(""Center"", NA, ""13""))",NA,NA,NA,"Czechia","Georgia",11,"Tomas Cvancara","AMC",TRUE,0,0,NA,"T. Cvancara",35,1,"Czechia",35
36,14,1,28,413,29.085,42.908,"FirstHalf","Pass","Unsuccessful",NA,NA,NA,"c(91, 118, 120, 29, 139, 36, 37, 216, 218)",TRUE,69335,35.805,45.084,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.46666666666667,2718123641,1,"list(type = list(value = c(212, 140, 213, 141, 3, 56), displayName = c(""Length"", ""PassEndX"", ""Angle"", ""PassEndY"", ""HeadPass"", ""Zone"")), value = c(""7.1"", ""34.1"", ""0.31"", ""66.3"", NA, ""Back""))",NA,NA,NA,"Georgia","Czechia",4,"Guram Kashia","DC",TRUE,6.35873104669417,0,17.9424470891587,"G. Kashia",36,1,"Czechia",36
37,25,1,28,332,64.26,25.636,"FirstHalf","Pass","Successful",NA,NA,NA,"c(91, 119, 117, 30, 139, 205, 36, 38, 217, 218)",TRUE,143595,73.185,12.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.46666666666667,2718123643,1,"list(type = list(value = c(212, 141, 56, 3, 140, 213), displayName = c(""Length"", ""PassEndY"", ""Zone"", ""HeadPass"", ""PassEndX"", ""Angle"")), value = c(""16.1"", ""18.0"", ""Right"", NA, ""69.7"", ""5.30""))",0.0199707,0.02401521,0.00404451,"Czechia","Georgia",22,"Tomas Soucek","MC",TRUE,3.04503831204693,0,-56.3267150685939,"T. Soucek",37,1,"Czechia",37
38,26,1,30,332,73.815,11.56,"FirstHalf","BallRecovery","Successful",NA,NA,NA,"93",FALSE,383685,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,2718123647,1,"list()",NA,NA,NA,"Czechia","Georgia",14,"Lukas Provod","AMC",TRUE,0,0,NA,"L. Provod",38,1,"Czechia",38
39,27,1,30,332,73.815,11.56,"FirstHalf","Pass","Successful",NA,NA,NA,"c(91, 119, 117, 30, 205, 35, 38, 217, 218)",TRUE,383685,70.875,2.788,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,2718123655,1,"list(type = list(value = c(140, 141, 212, 213, 56), displayName = c(""PassEndX"", ""PassEndY"", ""Length"", ""Angle"", ""Zone"")), value = c(""67.5"", ""4.1"", ""9.3"", ""4.39"", ""Right""))",0.02401521,0.02122129,-0.00279392,"Czechia","Georgia",14,"Lukas Provod","AMC",TRUE,-7.82663233424791,0,-108.52895329889,"L. Provod",39,1,"Czechia",39
40,28,1,31,332,70.875,2.788,"FirstHalf","Pass","Unsuccessful",NA,NA,NA,"c(91, 120, 29, 36, 37, 217, 218)",TRUE,111372,71.61,4.556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.51666666666667,2718123659,1,"list(type = list(value = c(140, 141, 213, 286, 212, 56, 233), displayName = c(""PassEndX"", ""PassEndY"", ""Angle"", ""Offensive"", ""Length"", ""Zone"", ""OppositeRelatedEvent"")), value = c(""68.2"", ""6.7"", ""1.18"", NA, ""1.9"", ""Right"", ""15""))",NA,NA,NA,"Czechia","Georgia",5,"Vladimir Coufal","DMR",TRUE,1.72825484786009,0,67.426172388493,"V. Coufal",40,1,"Czechia",40
41,15,1,31,413,38.745,64.804,"FirstHalf","BlockedPass","Successful",NA,NA,NA,"c(91, 60)",TRUE,283760,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.51666666666667,2718123687,1,"list(type = list(value = c(233, 56, 285), displayName = c(""OppositeRelatedEvent"", ""Zone"", ""Defensive"")), value = c(""28"", ""Back"", NA))",NA,NA,NA,"Georgia","Czechia",17,"Otar Kiteishvili","MC",TRUE,0,0,NA,"O. Kiteishvili",41,1,"Czechia",41
42,30,1,37,332,64.575,0,"FirstHalf","Pass","Successful",NA,NA,NA,"c(91, 212, 36, 37, 217)",TRUE,111372,94.71,6.664,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.61666666666667,2718123821,1,"list(type = list(value = c(107, 56, 141, 213, 140, 212, 1), displayName = c(""ThrowIn"", ""Zone"", ""PassEndY"", ""Angle"", ""PassEndX"", ""Length"", ""Longball"")), value = c(NA, ""Right"", ""9.8"", ""0.26"", ""90.2"", ""31.2"", NA))",0.0174506,0.03485072,0.01740012,"Czechia","Georgia",5,"Vladimir Coufal","DMR",TRUE,23.6135829202488,0,12.4696076825038,"V. Coufal",42,1,"Czechia",42
43,30.5,1,40,332,94.71,6.664,"FirstHalf","Carry","Successful",999,"takeOns","0","NULL",TRUE,143595,93.975,3.128,NA,NA,NA,NA,NA,31,NA,NA,NA,NA,1.66666666666667,NA,NA,"NULL",0.0379259,0.03485072,-0.00307518,"Czechia","Georgia",22,"Tomas Soucek","MC",TRUE,0,-3.57298763973427,-101.742403943207,"T. Soucek",43,1,"Czechia",43
44,31,1,43,332,93.975,3.128,"FirstHalf","Pass","Successful",NA,NA,NA,"c(91, 119, 117, 30, 205, 35, 37, 217, 218)",TRUE,143595,85.995,3.944,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.71666666666667,2718123853,1,"list(type = list(value = c(213, 141, 212, 140, 56), displayName = c(""Angle"", ""PassEndY"", ""Length"", ""PassEndX"", ""Zone"")), value = c(""3.04"", ""5.8"", ""8.0"", ""81.9"", ""Right""))",0.0379259,0.02756312,-0.01036278,"Czechia","Georgia",22,"Tomas Soucek","MC",TRUE,-2.77899117411768,0,174.161476635576,"T. Soucek",44,1,"Czechia",44
45,31.5,1,44.5,332,85.995,3.944,"FirstHalf","Carry","Successful",999,"takeOns","0","NULL",TRUE,111372,93.87,5.644,NA,NA,NA,NA,NA,32,NA,NA,NA,NA,1.74166666666667,NA,NA,"NULL",0.03485072,0.03485072,0,"Czechia","Georgia",5,"Vladimir Coufal","DMR",TRUE,0,5.09845461802558,12.181681686653,"V. Coufal",45,1,"Czechia",45
46,32,1,46,332,93.87,5.644,"FirstHalf","BallTouch","Unsuccessful",NA,NA,NA,"c(91, 69)",TRUE,111372,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.76666666666667,2718123859,1,"list(type = list(value = 56, displayName = ""Zone""), value = ""Right"")",NA,NA,NA,"Czechia","Georgia",5,"Vladimir Coufal","DMR",TRUE,0,0,NA,"V. Coufal",46,1,"Czechia",46
47,18,2,8,413,4.095,33.728,"FirstHalf","Pass","Unsuccessful",NA,NA,NA,"c(91, 120, 124, 128, 36, 38, 216, 218)",TRUE,401633,54.495,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.13333333333333,2718124003,2,"list(type = list(value = c(56, 124, 74, 212, 140, 1, 141, 155, 213), displayName = c(""Zone"", ""GoalKick"", ""MissHigh"", ""Length"", ""PassEndX"", ""Longball"", ""PassEndY"", ""Chipped"", ""Angle"")), value = c(""Right"", NA, NA, ""60.9"", ""51.9"", NA, ""0.0"", NA, ""5.69""))",NA,NA,NA,"Georgia","Czechia",12,"Giorgi Mamardashvili","GK",TRUE,40.0222406552264,0,-33.7906893095765,"G. Mamardashvili",47,1,"Czechia",47
